Name,price,link
"
                   Maxfone 512 (Blue & Black) 
               ",Rs. 498,/maxfone-512/p/itmedzzx9wmhbrje?pid=MOBEDP3USRN6WCKY&al=9UVSf0Mge7TA%2FYdp8GXdV8ldugMWZuE7Qdj0IGOOVqvtKYP%2F%2FYhzm3AOK4ls4neF8%2BkQFdDVlNo%3D&ref=L%3A2317778581229424265&srno=b_15
"
                   Maxfone 511 (Black & Red) 
               ",Rs. 498,/maxfone-511/p/itmeef68e4qbhyf7?pid=MOBEEF68B2JR6VG9&al=9UVSf0Mge7TA%2FYdp8GXdV8ldugMWZuE7Qdj0IGOOVqv4M%2FhqNBvq%2FfI23qDoXiqtdJvhUz5aZfc%3D&ref=L%3A2317778581229424265&srno=b_16
"
                   Maxfone 511 (Black & Blue) 
               ",Rs. 498,/maxfone-511/p/itmedp8vqcuzfpgw?pid=MOBEDP8VNRQCWCNE&al=9UVSf0Mge7TA%2FYdp8GXdV8ldugMWZuE7Qdj0IGOOVqt%2B0DzYCLdMjg%2B2hoD%2BY6DjHj1eeqk9S6I%3D&ref=L%3A2317778581229424265&srno=b_17
"
                   Maxfone 510 (Black) 
               ",Rs. 498,/maxfone-510/p/itmecmkvgpczphep?pid=MOBECMKVZNX4ZGPM&al=9UVSf0Mge7TA%2FYdp8GXdV8ldugMWZuE7Qdj0IGOOVqvgHyJdWzIY6rvoN8yUHraebP5KBWZgalI%3D&ref=L%3A2317778581229424265&srno=b_18
"
                   Voicair SRG 7 (Black) 
               ",Rs. 498,/voicair-srg-7/p/itmecacvgvpmwphw?pid=MOBECACVGYXYGCR2&al=9UVSf0Mge7TQv5DMIWvE%2BsldugMWZuE7Qdj0IGOOVqv1j7eXLwOynvJve20SEH14CqVT2FsUqes%3D&ref=L%3A2317778581229424265&srno=b_19
"
                   Voicair SRG 7 (Black) 
               ",Rs. 498,/voicair-srg-7/p/itmecacvgvpmwphw?pid=MOBECACVGYXYGCR2&al=9UVSf0Mge7StOon27U3GEMldugMWZuE7Qdj0IGOOVqv1j7eXLwOynvJve20SEH14CqVT2FsUqes%3D&ref=L%3A-5850085652172816337&srno=b_20
"
                   VoicAir VoicAir SRG007 (Black) 
               ",Rs. 499,/voicair-srg007/p/itmef45d7hhtytkz?pid=MOBEF45DGZVMG5S4&al=9UVSf0Mge7StOon27U3GEMldugMWZuE7Qdj0IGOOVqsSHjlEwRxA5F9f4kuYsC1r2IxTCWwQfDw%3D&ref=L%3A-5850085652172816337&srno=b_21
"
                   Champion X2 Sleek Plus (Orange) 
               ",Rs. 499,/champion-x2-sleek-plus/p/itmefdf24t7dy4xp?pid=MOBEFDF2QEVC45AE&al=9UVSf0Mge7StOon27U3GEMldugMWZuE7Qdj0IGOOVqtBFqN4Thr7%2FY8XHnKkqWtlhJVa661ggQk%3D&ref=L%3A-5850085652172816337&srno=b_22
"
                   Champion X2 Sleek Plus (Desert Blue) 
               ",Rs. 499,/champion-x2-sleek-plus/p/itmefdf24t7dy4xp?pid=MOBEFDF2H6W5SEVB&al=9UVSf0Mge7StOon27U3GEMldugMWZuE7Qdj0IGOOVqvxIB%2FugDmeMj0G2bo7BH%2FAMGz8CBy%2Ft%2F0%3D&ref=L%3A-5850085652172816337&srno=b_23
"
                   Champion X2 Sleek Plus (Red) 
               ",Rs. 499,/champion-x2-sleek-plus/p/itmefdf24t7dy4xp?pid=MOBEFDF2KSET2HFH&al=9UVSf0Mge7StOon27U3GEMldugMWZuE7Qdj0IGOOVqu2%2FqshSo%2Bgg4b1lLZBJxPa3NfC66OWtm8%3D&ref=L%3A-5850085652172816337&srno=b_24
"
                   Dynacon I KALL K11 Black-Blue Make in India with FM Rad...
               ",Rs. 499,/dynacon-kall-k11-black-blue-make-india-fm-radio-bluetooth/p/itmecvcmhdvm26yk?pid=MOBECVCMGQPGUQYA&al=9UVSf0Mge7StOon27U3GEMldugMWZuE7Qdj0IGOOVquCFF7ng%2FJJRjfHhldJnPTPrKpWWp6u2PU%3D&ref=L%3A-5850085652172816337&srno=b_25
"
                   Dynacon I KALL K11 RED Made in India with Bluetooth & F...
               ",Rs. 499,/dynacon-kall-k11-red-made-india-bluetooth-fm-radio/p/itmed6ecs6amhgwr?pid=MOBED6ECPYYXF3K2&al=9UVSf0Mge7RUL4FlIiAyJcldugMWZuE7Qdj0IGOOVqua1%2FBJ46QyjWIs5bz%2Fd%2F3vG3TQ6wnLREQ%3D&ref=L%3A-5850085652172816337&srno=b_26
